text	language,clean_text,text_length
tuko school na wasee	sheng,tuko school na wasee sheng,26
niko school na mabeste	sheng,niko school na mabeste sheng,28
leo kuna game kali	sheng,leo kuna game kali sheng,24
niko kibanda na mabeste	sheng,niko kibanda na mabeste sheng,29
wacha tuende market	sheng,wacha tuende market sheng,25
niko market na mabeste	sheng,niko market na mabeste sheng,28
leo kuna kitu kali	sheng,leo kuna kitu kali sheng,24
hii party iko fiti	sheng,hii party iko fiti sheng,24
twende school kidogo	sheng,twende school kidogo sheng,26
maze twende market	sheng,maze twende market sheng,24
twende field kidogo	sheng,twende field kidogo sheng,25
tuko field na wasee	sheng,tuko field na wasee sheng,25
twende job kidogo	sheng,twende job kidogo sheng,23
wacha tuende office	sheng,wacha tuende office sheng,25
leo ni game mob	sheng,leo ni game mob sheng,21
niko field na mabeste	sheng,niko field na mabeste sheng,27
hii story iko fiti	sheng,hii story iko fiti sheng,24
tutaenda school baadaye	sheng,tutaenda school baadaye sheng,29
hii movie iko fiti	sheng,hii movie iko fiti sheng,24
leo kuna kazi kali	sheng,leo kuna kazi kali sheng,24
hii game iko fiti	sheng,hii game iko fiti sheng,23
wacha tuende school	sheng,wacha tuende school sheng,25
leo kuna kitu kali	sheng,leo kuna kitu kali sheng,24
tuko base na wasee	sheng,tuko base na wasee sheng,24
hii food iko fiti	sheng,hii food iko fiti sheng,23
wacha tuende market	sheng,wacha tuende market sheng,25
tuko town sai	sheng,tuko town sai sheng,19
tuko base na wasee	sheng,tuko base na wasee sheng,24
wacha tuende base	sheng,wacha tuende base sheng,23
maze twende kibanda	sheng,maze twende kibanda sheng,25
tuko town na wasee	sheng,tuko town na wasee sheng,24
leo kuna story kali	sheng,leo kuna story kali sheng,25
tuko office na wasee	sheng,tuko office na wasee sheng,26
niko field na mabeste	sheng,niko field na mabeste sheng,27
leo kuna story kali	sheng,leo kuna story kali sheng,25
tuko town sai	sheng,tuko town sai sheng,19
leo kuna idea kali	sheng,leo kuna idea kali sheng,24
tuko soko na wasee	sheng,tuko soko na wasee sheng,24
niko office na mabeste	sheng,niko office na mabeste sheng,28
tuko job sai	sheng,tuko job sai sheng,18
niko office na mabeste	sheng,niko office na mabeste sheng,28
wacha tuende market	sheng,wacha tuende market sheng,25
leo ni party mob	sheng,leo ni party mob sheng,22
maze twende office	sheng,maze twende office sheng,24
tuko market sai	sheng,tuko market sai sheng,21
niko field na mabeste	sheng,niko field na mabeste sheng,27
wacha tuende kibanda	sheng,wacha tuende kibanda sheng,26
tuko market na wasee	sheng,tuko market na wasee sheng,26
maze twende office	sheng,maze twende office sheng,24
tutaenda soko baadaye	sheng,tutaenda soko baadaye sheng,27
leo ni idea mob	sheng,leo ni idea mob sheng,21
tuko market na wasee	sheng,tuko market na wasee sheng,26
wacha tuende office	sheng,wacha tuende office sheng,25
maze twende market	sheng,maze twende market sheng,24
tuko kibanda sai	sheng,tuko kibanda sai sheng,22
tuko field na wasee	sheng,tuko field na wasee sheng,25
hii kitu iko fiti	sheng,hii kitu iko fiti sheng,23
tuko market na wasee	sheng,tuko market na wasee sheng,26
maze twende office	sheng,maze twende office sheng,24
leo ni idea mob	sheng,leo ni idea mob sheng,21
tuko town na wasee	sheng,tuko town na wasee sheng,24
tutaenda office baadaye	sheng,tutaenda office baadaye sheng,29
niko soko na mabeste	sheng,niko soko na mabeste sheng,26
maze twende office	sheng,maze twende office sheng,24
tuko soko na wasee	sheng,tuko soko na wasee sheng,24
leo ni story mob	sheng,leo ni story mob sheng,22
niko soko na mabeste	sheng,niko soko na mabeste sheng,26
tuko kibanda na wasee	sheng,tuko kibanda na wasee sheng,27
wacha tuende school	sheng,wacha tuende school sheng,25
twende town kidogo	sheng,twende town kidogo sheng,24
hii chakula iko fiti	sheng,hii chakula iko fiti sheng,26
hii kazi iko fiti	sheng,hii kazi iko fiti sheng,23
tuko town na wasee	sheng,tuko town na wasee sheng,24
twende soko kidogo	sheng,twende soko kidogo sheng,24
leo ni party mob	sheng,leo ni party mob sheng,22
wacha tuende market	sheng,wacha tuende market sheng,25
hii idea iko fiti	sheng,hii idea iko fiti sheng,23
tutaenda base baadaye	sheng,tutaenda base baadaye sheng,27
leo kuna music kali	sheng,leo kuna music kali sheng,25
leo ni movie mob	sheng,leo ni movie mob sheng,22
tutaenda town baadaye	sheng,tutaenda town baadaye sheng,27
tuko job na wasee	sheng,tuko job na wasee sheng,23
leo ni story mob	sheng,leo ni story mob sheng,22
hii chakula iko fiti	sheng,hii chakula iko fiti sheng,26
niko job na mabeste	sheng,niko job na mabeste sheng,25
tutaenda school baadaye	sheng,tutaenda school baadaye sheng,29
tutaenda soko baadaye	sheng,tutaenda soko baadaye sheng,27
tuko kibanda na wasee	sheng,tuko kibanda na wasee sheng,27
leo ni kazi mob	sheng,leo ni kazi mob sheng,21
wacha tuende base	sheng,wacha tuende base sheng,23
maze twende kibanda	sheng,maze twende kibanda sheng,25
tuko base na wasee	sheng,tuko base na wasee sheng,24
tutaenda field baadaye	sheng,tutaenda field baadaye sheng,28
tuko market na wasee	sheng,tuko market na wasee sheng,26
tutaenda school baadaye	sheng,tutaenda school baadaye sheng,29
tuko office na wasee	sheng,tuko office na wasee sheng,26
leo ni party mob	sheng,leo ni party mob sheng,22
maze twende base	sheng,maze twende base sheng,22
maze twende field	sheng,maze twende field sheng,23
tuko office sai	sheng,tuko office sai sheng,21
tutaenda field baadaye	sheng,tutaenda field baadaye sheng,28
twende field kidogo	sheng,twende field kidogo sheng,25
twende market kidogo	sheng,twende market kidogo sheng,26
tuko school sai	sheng,tuko school sai sheng,21
tutaenda job baadaye	sheng,tutaenda job baadaye sheng,26
wacha tuende office	sheng,wacha tuende office sheng,25
leo kuna story kali	sheng,leo kuna story kali sheng,25
niko office na mabeste	sheng,niko office na mabeste sheng,28
niko office na mabeste	sheng,niko office na mabeste sheng,28
twende soko kidogo	sheng,twende soko kidogo sheng,24
wacha tuende school	sheng,wacha tuende school sheng,25
hii chakula iko fiti	sheng,hii chakula iko fiti sheng,26
leo ni story mob	sheng,leo ni story mob sheng,22
tutaenda school baadaye	sheng,tutaenda school baadaye sheng,29
wacha tuende soko	sheng,wacha tuende soko sheng,23
twende field kidogo	sheng,twende field kidogo sheng,25
hii kitu iko fiti	sheng,hii kitu iko fiti sheng,23
leo ni chakula mob	sheng,leo ni chakula mob sheng,24
twende market kidogo	sheng,twende market kidogo sheng,26
twende town kidogo	sheng,twende town kidogo sheng,24
tutaenda center baadaye	sheng,tutaenda center baadaye sheng,29
niko center na mabeste	sheng,niko center na mabeste sheng,28
tuko field sai	sheng,tuko field sai sheng,20
hii story iko fiti	sheng,hii story iko fiti sheng,24
maze twende school	sheng,maze twende school sheng,24
twende school kidogo	sheng,twende school kidogo sheng,26
maze twende field	sheng,maze twende field sheng,23
maze twende field	sheng,maze twende field sheng,23
hii idea iko fiti	sheng,hii idea iko fiti sheng,23
leo kuna party kali	sheng,leo kuna party kali sheng,25
maze twende field	sheng,maze twende field sheng,23
niko town na mabeste	sheng,niko town na mabeste sheng,26
tuko center na wasee	sheng,tuko center na wasee sheng,26
maze twende base	sheng,maze twende base sheng,22
tuko base sai	sheng,tuko base sai sheng,19
tutaenda kibanda baadaye	sheng,tutaenda kibanda baadaye sheng,30
maze twende soko	sheng,maze twende soko sheng,22
wacha tuende center	sheng,wacha tuende center sheng,25
twende job kidogo	sheng,twende job kidogo sheng,23
hii kitu iko fiti	sheng,hii kitu iko fiti sheng,23
tuko job sai	sheng,tuko job sai sheng,18
tuko field na wasee	sheng,tuko field na wasee sheng,25
tutaenda field baadaye	sheng,tutaenda field baadaye sheng,28
hii movie iko fiti	sheng,hii movie iko fiti sheng,24
maze twende school	sheng,maze twende school sheng,24
maze twende soko	sheng,maze twende soko sheng,22
wacha tuende base	sheng,wacha tuende base sheng,23
wacha tuende base	sheng,wacha tuende base sheng,23
leo ni party mob	sheng,leo ni party mob sheng,22
niko town na mabeste	sheng,niko town na mabeste sheng,26
twende town kidogo	sheng,twende town kidogo sheng,24
leo kuna music kali	sheng,leo kuna music kali sheng,25
tuko base sai	sheng,tuko base sai sheng,19
tuko center sai	sheng,tuko center sai sheng,21
tuko market na wasee	sheng,tuko market na wasee sheng,26
maze twende office	sheng,maze twende office sheng,24
leo ni chakula mob	sheng,leo ni chakula mob sheng,24
tutaenda soko baadaye	sheng,tutaenda soko baadaye sheng,27
wacha tuende job	sheng,wacha tuende job sheng,22
tutaenda school baadaye	sheng,tutaenda school baadaye sheng,29
wacha tuende center	sheng,wacha tuende center sheng,25
hii music iko fiti	sheng,hii music iko fiti sheng,24
niko base na mabeste	sheng,niko base na mabeste sheng,26
maze twende town	sheng,maze twende town sheng,22
tuko field na wasee	sheng,tuko field na wasee sheng,25
leo kuna chakula kali	sheng,leo kuna chakula kali sheng,27
tutaenda field baadaye	sheng,tutaenda field baadaye sheng,28
twende field kidogo	sheng,twende field kidogo sheng,25
leo kuna party kali	sheng,leo kuna party kali sheng,25
tuko market sai	sheng,tuko market sai sheng,21
maze twende field	sheng,maze twende field sheng,23
twende office kidogo	sheng,twende office kidogo sheng,26
niko market na mabeste	sheng,niko market na mabeste sheng,28
leo ni chakula mob	sheng,leo ni chakula mob sheng,24
leo kuna game kali	sheng,leo kuna game kali sheng,24
tuko center na wasee	sheng,tuko center na wasee sheng,26
tuko center na wasee	sheng,tuko center na wasee sheng,26
maze twende kibanda	sheng,maze twende kibanda sheng,25
maze twende center	sheng,maze twende center sheng,24
leo ni movie mob	sheng,leo ni movie mob sheng,22
wacha tuende job	sheng,wacha tuende job sheng,22
tutaenda job baadaye	sheng,tutaenda job baadaye sheng,26
tuko base na wasee	sheng,tuko base na wasee sheng,24
leo kuna kitu kali	sheng,leo kuna kitu kali sheng,24
leo ni music mob	sheng,leo ni music mob sheng,22
leo ni chakula mob	sheng,leo ni chakula mob sheng,24
tuko town sai	sheng,tuko town sai sheng,19
tuko town na wasee	sheng,tuko town na wasee sheng,24
leo ni music mob	sheng,leo ni music mob sheng,22
twende job kidogo	sheng,twende job kidogo sheng,23
maze twende office	sheng,maze twende office sheng,24
tuko center na wasee	sheng,tuko center na wasee sheng,26
maze twende school	sheng,maze twende school sheng,24
tuko soko na wasee	sheng,tuko soko na wasee sheng,24
twende center kidogo	sheng,twende center kidogo sheng,26
hii party iko fiti	sheng,hii party iko fiti sheng,24
niko base na mabeste	sheng,niko base na mabeste sheng,26
niko market na mabeste	sheng,niko market na mabeste sheng,28
twende market kidogo	sheng,twende market kidogo sheng,26
niko job na mabeste	sheng,niko job na mabeste sheng,25
niko job na mabeste	sheng,niko job na mabeste sheng,25
twende office kidogo	sheng,twende office kidogo sheng,26
twende job kidogo	sheng,twende job kidogo sheng,23
niko center na mabeste	sheng,niko center na mabeste sheng,28
tuko job sai	sheng,tuko job sai sheng,18
niko kibanda na mabeste	sheng,niko kibanda na mabeste sheng,29
niko kibanda na mabeste	sheng,niko kibanda na mabeste sheng,29
leo kuna game kali	sheng,leo kuna game kali sheng,24
leo kuna story kali	sheng,leo kuna story kali sheng,25
wacha tuende center	sheng,wacha tuende center sheng,25
maze twende school	sheng,maze twende school sheng,24
maze twende town	sheng,maze twende town sheng,22
maze twende job	sheng,maze twende job sheng,21
tuko school sai	sheng,tuko school sai sheng,21
twende soko kidogo	sheng,twende soko kidogo sheng,24
leo kuna movie kali	sheng,leo kuna movie kali sheng,25
maze twende soko	sheng,maze twende soko sheng,22
maze twende office	sheng,maze twende office sheng,24
tuko office na wasee	sheng,tuko office na wasee sheng,26
tuko soko sai	sheng,tuko soko sai sheng,19
hii kitu iko fiti	sheng,hii kitu iko fiti sheng,23
tuko school sai	sheng,tuko school sai sheng,21
tuko market na wasee	sheng,tuko market na wasee sheng,26
tuko town sai	sheng,tuko town sai sheng,19
hii party iko fiti	sheng,hii party iko fiti sheng,24
hii kitu iko fiti	sheng,hii kitu iko fiti sheng,23
tutaenda kibanda baadaye	sheng,tutaenda kibanda baadaye sheng,30
maze twende center	sheng,maze twende center sheng,24
leo ni chakula mob	sheng,leo ni chakula mob sheng,24
niko field na mabeste	sheng,niko field na mabeste sheng,27
tutaenda soko baadaye	sheng,tutaenda soko baadaye sheng,27
twende field kidogo	sheng,twende field kidogo sheng,25
niko soko na mabeste	sheng,niko soko na mabeste sheng,26
twende market kidogo	sheng,twende market kidogo sheng,26
leo kuna story kali	sheng,leo kuna story kali sheng,25
tuko market sai	sheng,tuko market sai sheng,21
tutaenda base baadaye	sheng,tutaenda base baadaye sheng,27
tuko school na wasee	sheng,tuko school na wasee sheng,26
hii story iko fiti	sheng,hii story iko fiti sheng,24
leo kuna chakula kali	sheng,leo kuna chakula kali sheng,27
tuko center na wasee	sheng,tuko center na wasee sheng,26
niko office na mabeste	sheng,niko office na mabeste sheng,28
leo kuna music kali	sheng,leo kuna music kali sheng,25
tuko market sai	sheng,tuko market sai sheng,21
tutaenda town baadaye	sheng,tutaenda town baadaye sheng,27
wacha tuende office	sheng,wacha tuende office sheng,25
leo kuna party kali	sheng,leo kuna party kali sheng,25
hii kitu iko fiti	sheng,hii kitu iko fiti sheng,23
wacha tuende town	sheng,wacha tuende town sheng,23
hii kazi iko fiti	sheng,hii kazi iko fiti sheng,23
tutaenda market baadaye	sheng,tutaenda market baadaye sheng,29
twende soko kidogo	sheng,twende soko kidogo sheng,24
tuko town na wasee	sheng,tuko town na wasee sheng,24
leo kuna movie kali	sheng,leo kuna movie kali sheng,25
twende school kidogo	sheng,twende school kidogo sheng,26
niko school na mabeste	sheng,niko school na mabeste sheng,28
hii game iko fiti	sheng,hii game iko fiti sheng,23
wacha tuende office	sheng,wacha tuende office sheng,25
niko center na mabeste	sheng,niko center na mabeste sheng,28
tutaenda town baadaye	sheng,tutaenda town baadaye sheng,27
leo ni chakula mob	sheng,leo ni chakula mob sheng,24
niko kibanda na mabeste	sheng,niko kibanda na mabeste sheng,29
tuko kibanda sai	sheng,tuko kibanda sai sheng,22
leo kuna party kali	sheng,leo kuna party kali sheng,25
tuko job sai	sheng,tuko job sai sheng,18
leo ni idea mob	sheng,leo ni idea mob sheng,21
maze twende office	sheng,maze twende office sheng,24
wacha tuende center	sheng,wacha tuende center sheng,25
tuko center sai	sheng,tuko center sai sheng,21
maze twende center	sheng,maze twende center sheng,24
leo ni kazi mob	sheng,leo ni kazi mob sheng,21
hii idea iko fiti	sheng,hii idea iko fiti sheng,23
wacha tuende town	sheng,wacha tuende town sheng,23
tutaenda office baadaye	sheng,tutaenda office baadaye sheng,29
twende office kidogo	sheng,twende office kidogo sheng,26
tuko job na wasee	sheng,tuko job na wasee sheng,23
maze twende base	sheng,maze twende base sheng,22
wacha tuende soko	sheng,wacha tuende soko sheng,23
niko field na mabeste	sheng,niko field na mabeste sheng,27
leo ni chakula mob	sheng,leo ni chakula mob sheng,24
twende base kidogo	sheng,twende base kidogo sheng,24
twende kibanda kidogo	sheng,twende kibanda kidogo sheng,27
tutaenda town baadaye	sheng,tutaenda town baadaye sheng,27
tuko field sai	sheng,tuko field sai sheng,20
leo ni idea mob	sheng,leo ni idea mob sheng,21
hii movie iko fiti	sheng,hii movie iko fiti sheng,24
leo ni game mob	sheng,leo ni game mob sheng,21
tuko soko sai	sheng,tuko soko sai sheng,19
tuko market na wasee	sheng,tuko market na wasee sheng,26
leo ni kazi mob	sheng,leo ni kazi mob sheng,21
hii chakula iko fiti	sheng,hii chakula iko fiti sheng,26
maze twende center	sheng,maze twende center sheng,24
twende soko kidogo	sheng,twende soko kidogo sheng,24
hii chakula iko fiti	sheng,hii chakula iko fiti sheng,26
tuko office na wasee	sheng,tuko office na wasee sheng,26
niko kibanda na mabeste	sheng,niko kibanda na mabeste sheng,29
twende base kidogo	sheng,twende base kidogo sheng,24
hii party iko fiti	sheng,hii party iko fiti sheng,24
tuko kibanda na wasee	sheng,tuko kibanda na wasee sheng,27
hii food iko fiti	sheng,hii food iko fiti sheng,23
tutaenda center baadaye	sheng,tutaenda center baadaye sheng,29
leo kuna music kali	sheng,leo kuna music kali sheng,25
wacha tuende office	sheng,wacha tuende office sheng,25
twende field kidogo	sheng,twende field kidogo sheng,25
leo kuna game kali	sheng,leo kuna game kali sheng,24
tuko soko sai	sheng,tuko soko sai sheng,19
twende kibanda kidogo	sheng,twende kibanda kidogo sheng,27
leo ni food mob	sheng,leo ni food mob sheng,21
tutaenda market baadaye	sheng,tutaenda market baadaye sheng,29
hii kazi iko fiti	sheng,hii kazi iko fiti sheng,23
leo ni chakula mob	sheng,leo ni chakula mob sheng,24
leo kuna music kali	sheng,leo kuna music kali sheng,25
wacha tuende town	sheng,wacha tuende town sheng,23
leo kuna story kali	sheng,leo kuna story kali sheng,25
tuko school sai	sheng,tuko school sai sheng,21
maze twende center	sheng,maze twende center sheng,24
hii kitu iko fiti	sheng,hii kitu iko fiti sheng,23
hii kitu iko fiti	sheng,hii kitu iko fiti sheng,23
hii party iko fiti	sheng,hii party iko fiti sheng,24
maze twende soko	sheng,maze twende soko sheng,22
tuko town sai	sheng,tuko town sai sheng,19
leo ni kazi mob	sheng,leo ni kazi mob sheng,21
leo kuna movie kali	sheng,leo kuna movie kali sheng,25
wacha tuende kibanda	sheng,wacha tuende kibanda sheng,26
leo ni chakula mob	sheng,leo ni chakula mob sheng,24
wacha tuende kibanda	sheng,wacha tuende kibanda sheng,26
leo ni game mob	sheng,leo ni game mob sheng,21
leo kuna story kali	sheng,leo kuna story kali sheng,25
hii party iko fiti	sheng,hii party iko fiti sheng,24
twende town kidogo	sheng,twende town kidogo sheng,24
tuko school na wasee	sheng,tuko school na wasee sheng,26
tutaenda market baadaye	sheng,tutaenda market baadaye sheng,29
leo ni chakula mob	sheng,leo ni chakula mob sheng,24
maze twende school	sheng,maze twende school sheng,24
tuko market na wasee	sheng,tuko market na wasee sheng,26
tuko soko sai	sheng,tuko soko sai sheng,19
maze twende soko	sheng,maze twende soko sheng,22
tuko base na wasee	sheng,tuko base na wasee sheng,24
hii music iko fiti	sheng,hii music iko fiti sheng,24
hii food iko fiti	sheng,hii food iko fiti sheng,23
leo ni food mob	sheng,leo ni food mob sheng,21
tuko town sai	sheng,tuko town sai sheng,19
niko market na mabeste	sheng,niko market na mabeste sheng,28
maze twende market	sheng,maze twende market sheng,24
leo ni kazi mob	sheng,leo ni kazi mob sheng,21
tuko market na wasee	sheng,tuko market na wasee sheng,26
wacha tuende soko	sheng,wacha tuende soko sheng,23
hii food iko fiti	sheng,hii food iko fiti sheng,23
wacha tuende center	sheng,wacha tuende center sheng,25
wacha tuende soko	sheng,wacha tuende soko sheng,23
hii kitu iko fiti	sheng,hii kitu iko fiti sheng,23
tuko center sai	sheng,tuko center sai sheng,21
leo kuna kitu kali	sheng,leo kuna kitu kali sheng,24
wacha tuende kibanda	sheng,wacha tuende kibanda sheng,26
tuko field na wasee	sheng,tuko field na wasee sheng,25
leo ni movie mob	sheng,leo ni movie mob sheng,22
tuko base sai	sheng,tuko base sai sheng,19
niko office na mabeste	sheng,niko office na mabeste sheng,28
niko kibanda na mabeste	sheng,niko kibanda na mabeste sheng,29
maze twende office	sheng,maze twende office sheng,24
twende center kidogo	sheng,twende center kidogo sheng,26
niko center na mabeste	sheng,niko center na mabeste sheng,28
leo kuna chakula kali	sheng,leo kuna chakula kali sheng,27
tuko base na wasee	sheng,tuko base na wasee sheng,24
tuko market sai	sheng,tuko market sai sheng,21
tutaenda soko baadaye	sheng,tutaenda soko baadaye sheng,27
leo kuna game kali	sheng,leo kuna game kali sheng,24
tuko base sai	sheng,tuko base sai sheng,19
wacha tuende kibanda	sheng,wacha tuende kibanda sheng,26
wacha tuende school	sheng,wacha tuende school sheng,25
wacha tuende field	sheng,wacha tuende field sheng,24
wacha tuende school	sheng,wacha tuende school sheng,25
leo ni party mob	sheng,leo ni party mob sheng,22
leo ni movie mob	sheng,leo ni movie mob sheng,22
twende field kidogo	sheng,twende field kidogo sheng,25
leo kuna story kali	sheng,leo kuna story kali sheng,25
twende school kidogo	sheng,twende school kidogo sheng,26
tutaenda school baadaye	sheng,tutaenda school baadaye sheng,29
maze twende base	sheng,maze twende base sheng,22
leo kuna music kali	sheng,leo kuna music kali sheng,25
twende job kidogo	sheng,twende job kidogo sheng,23
maze twende job	sheng,maze twende job sheng,21
maze twende market	sheng,maze twende market sheng,24
leo kuna music kali	sheng,leo kuna music kali sheng,25
wacha tuende kibanda	sheng,wacha tuende kibanda sheng,26
hii music iko fiti	sheng,hii music iko fiti sheng,24
maze twende soko	sheng,maze twende soko sheng,22
tutaenda kibanda baadaye	sheng,tutaenda kibanda baadaye sheng,30
wacha tuende job	sheng,wacha tuende job sheng,22
niko base na mabeste	sheng,niko base na mabeste sheng,26
twende kibanda kidogo	sheng,twende kibanda kidogo sheng,27
tuko base sai	sheng,tuko base sai sheng,19
leo kuna story kali	sheng,leo kuna story kali sheng,25
twende soko kidogo	sheng,twende soko kidogo sheng,24
hii kazi iko fiti	sheng,hii kazi iko fiti sheng,23
hii story iko fiti	sheng,hii story iko fiti sheng,24
leo kuna story kali	sheng,leo kuna story kali sheng,25
niko office na mabeste	sheng,niko office na mabeste sheng,28
niko school na mabeste	sheng,niko school na mabeste sheng,28
tutaenda market baadaye	sheng,tutaenda market baadaye sheng,29
leo kuna party kali	sheng,leo kuna party kali sheng,25
niko market na mabeste	sheng,niko market na mabeste sheng,28
maze twende school	sheng,maze twende school sheng,24
hii kitu iko fiti	sheng,hii kitu iko fiti sheng,23
wacha tuende field	sheng,wacha tuende field sheng,24
tuko job sai	sheng,tuko job sai sheng,18
tuko job na wasee	sheng,tuko job na wasee sheng,23
tuko town sai	sheng,tuko town sai sheng,19
tuko field sai	sheng,tuko field sai sheng,20
leo kuna kitu kali	sheng,leo kuna kitu kali sheng,24
leo kuna movie kali	sheng,leo kuna movie kali sheng,25
leo kuna kazi kali	sheng,leo kuna kazi kali sheng,24
wacha tuende soko	sheng,wacha tuende soko sheng,23
leo kuna kazi kali	sheng,leo kuna kazi kali sheng,24
twende market kidogo	sheng,twende market kidogo sheng,26
tuko soko sai	sheng,tuko soko sai sheng,19
leo ni food mob	sheng,leo ni food mob sheng,21
tuko job na wasee	sheng,tuko job na wasee sheng,23
niko kibanda na mabeste	sheng,niko kibanda na mabeste sheng,29
leo kuna music kali	sheng,leo kuna music kali sheng,25
maze twende soko	sheng,maze twende soko sheng,22
maze twende market	sheng,maze twende market sheng,24
tuko job sai	sheng,tuko job sai sheng,18
tutaenda center baadaye	sheng,tutaenda center baadaye sheng,29
tuko field sai	sheng,tuko field sai sheng,20
maze twende town	sheng,maze twende town sheng,22
niko center na mabeste	sheng,niko center na mabeste sheng,28
leo ni kitu mob	sheng,leo ni kitu mob sheng,21
leo kuna idea kali	sheng,leo kuna idea kali sheng,24
leo ni party mob	sheng,leo ni party mob sheng,22
niko market na mabeste	sheng,niko market na mabeste sheng,28
twende school kidogo	sheng,twende school kidogo sheng,26
tuko office na wasee	sheng,tuko office na wasee sheng,26
leo ni idea mob	sheng,leo ni idea mob sheng,21
leo ni story mob	sheng,leo ni story mob sheng,22
hii chakula iko fiti	sheng,hii chakula iko fiti sheng,26
twende kibanda kidogo	sheng,twende kibanda kidogo sheng,27
maze twende market	sheng,maze twende market sheng,24
twende job kidogo	sheng,twende job kidogo sheng,23
leo ni food mob	sheng,leo ni food mob sheng,21
leo kuna game kali	sheng,leo kuna game kali sheng,24
maze twende job	sheng,maze twende job sheng,21
hii kitu iko fiti	sheng,hii kitu iko fiti sheng,23
tuko center na wasee	sheng,tuko center na wasee sheng,26
tuko field na wasee	sheng,tuko field na wasee sheng,25
leo kuna idea kali	sheng,leo kuna idea kali sheng,24
leo ni movie mob	sheng,leo ni movie mob sheng,22
wacha tuende town	sheng,wacha tuende town sheng,23
niko base na mabeste	sheng,niko base na mabeste sheng,26
hii music iko fiti	sheng,hii music iko fiti sheng,24
twende center kidogo	sheng,twende center kidogo sheng,26
tuko town sai	sheng,tuko town sai sheng,19
tutaenda center baadaye	sheng,tutaenda center baadaye sheng,29
tuko office sai	sheng,tuko office sai sheng,21
hii party iko fiti	sheng,hii party iko fiti sheng,24
niko school na mabeste	sheng,niko school na mabeste sheng,28
twende job kidogo	sheng,twende job kidogo sheng,23
tuko town sai	sheng,tuko town sai sheng,19
tuko base sai	sheng,tuko base sai sheng,19
hii game iko fiti	sheng,hii game iko fiti sheng,23
tuko school sai	sheng,tuko school sai sheng,21
wacha tuende kibanda	sheng,wacha tuende kibanda sheng,26
leo kuna kazi kali	sheng,leo kuna kazi kali sheng,24
tutaenda center baadaye	sheng,tutaenda center baadaye sheng,29
wacha tuende job	sheng,wacha tuende job sheng,22
leo kuna party kali	sheng,leo kuna party kali sheng,25
tutaenda market baadaye	sheng,tutaenda market baadaye sheng,29
twende field kidogo	sheng,twende field kidogo sheng,25
leo kuna kazi kali	sheng,leo kuna kazi kali sheng,24
tuko school sai	sheng,tuko school sai sheng,21
niko school na mabeste	sheng,niko school na mabeste sheng,28
maze twende office	sheng,maze twende office sheng,24
maze twende school	sheng,maze twende school sheng,24
maze twende base	sheng,maze twende base sheng,22
twende office kidogo	sheng,twende office kidogo sheng,26
twende market kidogo	sheng,twende market kidogo sheng,26
wacha tuende soko	sheng,wacha tuende soko sheng,23
twende field kidogo	sheng,twende field kidogo sheng,25
maze twende school	sheng,maze twende school sheng,24
tuko job sai	sheng,tuko job sai sheng,18
tuko soko sai	sheng,tuko soko sai sheng,19
twende center kidogo	sheng,twende center kidogo sheng,26
twende market kidogo	sheng,twende market kidogo sheng,26
tuko school na wasee	sheng,tuko school na wasee sheng,26
maze twende field	sheng,maze twende field sheng,23
leo ni game mob	sheng,leo ni game mob sheng,21
niko market na mabeste	sheng,niko market na mabeste sheng,28
wacha tuende soko	sheng,wacha tuende soko sheng,23
tutaenda soko baadaye	sheng,tutaenda soko baadaye sheng,27
tuko center sai	sheng,tuko center sai sheng,21
tuko office na wasee	sheng,tuko office na wasee sheng,26
niko job na mabeste	sheng,niko job na mabeste sheng,25
please bring the idea	english,please bring the idea english,29
i will visit the office	english,i will visit the office english,31
i like this story	english,i like this story english,25
this kitu is very good	english,this kitu is very good english,30
we will meet at the field	english,we will meet at the field english,33
let us go to the office	english,let us go to the office english,31
let us go to the base	english,let us go to the base english,29
we are at the job today	english,we are at the job today english,31
this game is very good	english,this game is very good english,30
this party is very good	english,this party is very good english,31
the party is interesting	english,the party is interesting english,32
i will visit the kibanda	english,i will visit the kibanda english,32
we are at the soko today	english,we are at the soko today english,32
we will meet at the market	english,we will meet at the market english,34
let us go to the town	english,let us go to the town english,29
i am going to the field	english,i am going to the field english,31
i am going to the soko	english,i am going to the soko english,30
we saw the chakula yesterday	english,we saw the chakula yesterday english,36
i like this music	english,i like this music english,25
please bring the story	english,please bring the story english,30
i am going to the school	english,i am going to the school english,32
this idea is very good	english,this idea is very good english,30
let us go to the office	english,let us go to the office english,31
the music is interesting	english,the music is interesting english,32
please bring the music	english,please bring the music english,30
i am going to the kibanda	english,i am going to the kibanda english,33
the party is interesting	english,the party is interesting english,32
please bring the party	english,please bring the party english,30
this music is very good	english,this music is very good english,31
we are at the market today	english,we are at the market today english,34
i will visit the kibanda	english,i will visit the kibanda english,32
let us go to the field	english,let us go to the field english,30
we will meet at the office	english,we will meet at the office english,34
i like this game	english,i like this game english,24
i am going to the center	english,i am going to the center english,32
please bring the kazi	english,please bring the kazi english,29
i will visit the center	english,i will visit the center english,31
the game is interesting	english,the game is interesting english,31
we saw the game yesterday	english,we saw the game yesterday english,33
i will visit the market	english,i will visit the market english,31
we will meet at the market	english,we will meet at the market english,34
the music is interesting	english,the music is interesting english,32
this game is very good	english,this game is very good english,30
the party is interesting	english,the party is interesting english,32
this chakula is very good	english,this chakula is very good english,33
